timestamp,inst_id,open_price,high_price,low_price,close_price,volume_in_coin,volume_in_usdt
2020-12-25 08:00:00.000000 +0800,1INCHUSDT,0.2,3.0885,0.2,2.2954,125977553.14,301510841.152751
2020-12-26 08:00:00.000000 +0800,1INCHUSDT,2.2958,2.4609,1.5717,1.5967,57039701.92,105418896.837093
2020-12-27 08:00:00.000000 +0800,1INCHUSDT,1.597,1.6516,1.036,1.0612,77797336.07,101274161.763392
2020-12-28 08:00:00.000000 +0800,1INCHUSDT,1.06,1.2787,1.0353,1.114,39346066.97,45505928.992213
2020-12-29 08:00:00.000000 +0800,1INCHUSDT,1.114,1.1166,0.7541,0.8845,53786032.77,48073723.12896
2020-12-30 08:00:00.000000 +0800,1INCHUSDT,0.8845,1.2574,0.8702,1.0934,57120473.11,61465212.258155
2020-12-31 08:00:00.000000 +0800,1INCHUSDT,1.0932,1.4033,1.0582,1.3637,44493450.73,56262752.408986
2021-01-01 08:00:00.000000 +0800,1INCHUSDT,1.3623,1.3974,1.0863,1.155,20279992.26,24465518.026843
2021-01-02 08:00:00.000000 +0800,1INCHUSDT,1.1521,1.1607,1,1.025,11922746.16,12861436.62075
2021-01-03 08:00:00.000000 +0800,1INCHUSDT,1.0259,1.1568,0.9456,1.108,20147704.01,21379421.776639
2021-01-04 08:00:00.000000 +0800,1INCHUSDT,1.108,1.24,0.9666,1.0317,18714450.36,20652733.11878
2021-01-05 08:00:00.000000 +0800,1INCHUSDT,1.0317,1.38,0.98,1.2501,21614286.19,24772365.76234
2021-01-06 08:00:00.000000 +0800,1INCHUSDT,1.2502,1.5269,1.1885,1.51,26125892.04,35471398.630165
2021-01-07 08:00:00.000000 +0800,1INCHUSDT,1.5109,1.615,1.244,1.2925,25553868.02,37327120.55827
2021-01-08 08:00:00.000000 +0800,1INCHUSDT,1.294,1.3485,1.0111,1.1867,22858507.73,28305260.777243
2021-01-09 08:00:00.000000 +0800,1INCHUSDT,1.1864,1.2999,1.112,1.2431,17542226.69,21282757.752106
2021-01-10 08:00:00.000000 +0800,1INCHUSDT,1.2441,1.3871,1.11,1.2058,21496873.07,27376198.030271
2021-01-11 08:00:00.000000 +0800,1INCHUSDT,1.2032,1.2126,0.9623,1.1243,18251793,19767672.641642
2021-01-12 08:00:00.000000 +0800,1INCHUSDT,1.1262,1.214,1.055,1.1275,12397670.65,14122650.797779
2021-01-13 08:00:00.000000 +0800,1INCHUSDT,1.1272,1.3345,1.06,1.277,16398822.19,20123388.883208
2021-01-14 08:00:00.000000 +0800,1INCHUSDT,1.275,1.4026,1.2637,1.3395,13593431.03,18063982.2852
2021-01-15 08:00:00.000000 +0800,1INCHUSDT,1.3379,1.51,1.1716,1.3516,24679310.93,33544488.378938
2021-01-16 08:00:00.000000 +0800,1INCHUSDT,1.3488,1.8416,1.3313,1.6319,30763976.8,48763780.743055
2021-01-17 08:00:00.000000 +0800,1INCHUSDT,1.6316,2.19,1.5844,2.0362,40145438.06,75630316.779939
2021-01-18 08:00:00.000000 +0800,1INCHUSDT,2.0283,2.0768,1.68,1.8827,24567762.77,46699918.365494
2021-01-19 08:00:00.000000 +0800,1INCHUSDT,1.8792,2.1,1.7979,1.9005,21184499.68,41172560.786419
2021-01-20 08:00:00.000000 +0800,1INCHUSDT,1.9043,1.9652,1.6412,1.847,15359199.05,27459373.552279
2021-01-21 08:00:00.000000 +0800,1INCHUSDT,1.8453,1.8847,1.546,1.569,14947028.09,25449093.378704
2021-01-22 08:00:00.000000 +0800,1INCHUSDT,1.5733,1.85,1.4113,1.7562,14724984.43,24654877.554878
2021-01-23 08:00:00.000000 +0800,1INCHUSDT,1.7549,1.998,1.7058,1.9309,14696995.31,27785698.900559
2021-01-24 08:00:00.000000 +0800,1INCHUSDT,1.9338,2.49,1.8786,2.4743,23208043.75,51070241.692679
2021-01-25 08:00:00.000000 +0800,1INCHUSDT,2.4707,2.72,2.2933,2.3585,28495931.15,72129338.524312
2021-01-26 08:00:00.000000 +0800,1INCHUSDT,2.3546,2.69,2.18,2.6881,21837127.98,53324781.77685
2021-01-27 08:00:00.000000 +0800,1INCHUSDT,2.6898,2.7278,2.2288,2.4955,21663954.75,53437076.0956
2021-01-28 08:00:00.000000 +0800,1INCHUSDT,2.4985,3.3579,2.425,3.1197,30681113.58,93747461.951823
2021-01-29 08:00:00.000000 +0800,1INCHUSDT,3.1124,3.4772,2.8416,3.3511,22150621.36,67774115.764665
2021-01-30 08:00:00.000000 +0800,1INCHUSDT,3.3571,4.7,3.1707,4.586,44098606.67,175026014.004943
2021-01-31 08:00:00.000000 +0800,1INCHUSDT,4.5861,5.55,4.455,4.9309,55866327.76,281656205.811888
2021-02-01 08:00:00.000000 +0800,1INCHUSDT,4.9307,5.2729,4.2715,5.0194,33226376.16,158119081.82892
2021-02-02 08:00:00.000000 +0800,1INCHUSDT,5.0179,5.074,4.56,4.6714,13304716.72,63844474.850109
2021-02-03 08:00:00.000000 +0800,1INCHUSDT,4.67,5.2657,4.35,5.0363,18109526.37,88178111.821532
2021-02-04 08:00:00.000000 +0800,1INCHUSDT,5.0357,5.95,4.5818,5.5705,27437347.94,144276852.570263
2021-02-05 08:00:00.000000 +0800,1INCHUSDT,5.5699,6.33,5.5076,5.825,18313335.48,108335945.213193
2021-02-06 08:00:00.000000 +0800,1INCHUSDT,5.825,5.94,5.1,5.26,17203563.3,92799917.719044
2021-02-07 08:00:00.000000 +0800,1INCHUSDT,5.2598,5.3095,4.3001,4.9512,21091809.1,101867796.328274
2021-02-08 08:00:00.000000 +0800,1INCHUSDT,4.9513,5.4763,4.69,5.3251,18626982.19,95419034.11442
2021-02-09 08:00:00.000000 +0800,1INCHUSDT,5.3255,5.3484,4.8143,5.067,16186957.03,82125294.206295
2021-02-10 08:00:00.000000 +0800,1INCHUSDT,5.0648,5.4206,4.4,4.8912,18078644.38,91814091.363323
2021-02-11 08:00:00.000000 +0800,1INCHUSDT,4.9,5.86,4.673,5.6254,20245238.71,109112374.131212
2021-02-12 08:00:00.000000 +0800,1INCHUSDT,5.6254,5.8,5.1201,5.2528,19898521.86,108774916.711615
2021-02-13 08:00:00.000000 +0800,1INCHUSDT,5.2527,6.024,5.1301,5.7,24181762.86,134444125.199919
2021-02-14 08:00:00.000000 +0800,1INCHUSDT,5.7,6.29,5.1001,5.25,19890398.63,112725860.894121
2021-02-15 08:00:00.000000 +0800,1INCHUSDT,5.25,5.528,4.205,4.95,26654789.16,131896702.781393
2021-02-16 08:00:00.000000 +0800,1INCHUSDT,4.9413,5.1836,4.6124,4.7567,14800214.71,72440427.156593
2021-02-17 08:00:00.000000 +0800,1INCHUSDT,4.7625,5.0699,4.4,4.828,14650901.3,70126670.741956
2021-02-18 08:00:00.000000 +0800,1INCHUSDT,4.8307,5.1749,4.71,4.7718,12007663.61,59508058.420068
2021-02-19 08:00:00.000000 +0800,1INCHUSDT,4.7803,4.8697,4.5,4.6031,12795377.82,59944880.896921
2021-02-20 08:00:00.000000 +0800,1INCHUSDT,4.604,5.8976,4.44,5.1293,34051875.95,177945251.819955
2021-02-21 08:00:00.000000 +0800,1INCHUSDT,5.1104,5.4783,4.9087,5.0575,15660772.77,81564170.483391
2021-02-22 08:00:00.000000 +0800,1INCHUSDT,5.0575,5.0706,3.6047,4.5317,19020054.6,86105397.136782
2021-02-23 08:00:00.000000 +0800,1INCHUSDT,4.5351,4.5759,3,3.6811,24574982.07,88775632.081063
2021-02-24 08:00:00.000000 +0800,1INCHUSDT,3.6938,4.1635,3.4083,3.6436,16484825.41,62386155.172209
2021-02-25 08:00:00.000000 +0800,1INCHUSDT,3.6447,4.66,3.51,3.9342,33369910.61,139088001.165054
2021-02-26 08:00:00.000000 +0800,1INCHUSDT,3.9355,5.1676,3.7764,4.4897,48877825.62,221285561.48857
2021-02-27 08:00:00.000000 +0800,1INCHUSDT,4.4984,4.865,4.01,4.1598,18105346.55,80444145.542601
2021-02-28 08:00:00.000000 +0800,1INCHUSDT,4.1492,4.1813,3.5,3.8407,18129452.19,68685260.087926
2021-03-01 08:00:00.000000 +0800,1INCHUSDT,3.8408,4.2,3.777,4.1194,13458342.81,54030164.996279
2021-03-02 08:00:00.000000 +0800,1INCHUSDT,4.1194,4.3556,3.81,4.0087,14640989.02,60321912.293036
2021-03-03 08:00:00.000000 +0800,1INCHUSDT,4.011,4.3177,3.986,4.0648,11383448.93,47278919.475559
2021-03-04 08:00:00.000000 +0800,1INCHUSDT,4.0685,4.2387,3.7501,3.8366,10471212.59,41868419.004986
2021-03-05 08:00:00.000000 +0800,1INCHUSDT,3.8367,3.85,3.52,3.7287,9671184.6,35600870.739959
2021-03-06 08:00:00.000000 +0800,1INCHUSDT,3.7327,3.8647,3.6051,3.8626,6060340.49,22750338.582346
2021-03-07 08:00:00.000000 +0800,1INCHUSDT,3.8646,4.11,3.7818,3.9827,13306385.89,52320759.933592
2021-03-08 08:00:00.000000 +0800,1INCHUSDT,3.988,4.4662,3.85,4.3249,17296288.32,71601697.699446
2021-03-09 08:00:00.000000 +0800,1INCHUSDT,4.3249,4.555,4.2001,4.4366,14316973.66,62924246.408656
2021-03-10 08:00:00.000000 +0800,1INCHUSDT,4.4365,4.5225,3.93,4.0047,15201804.11,63538319.696569
2021-03-11 08:00:00.000000 +0800,1INCHUSDT,4.0078,4.14,3.8888,3.9999,11027070.39,44049883.953324
2021-03-12 08:00:00.000000 +0800,1INCHUSDT,3.9999,4.142,3.68,3.8026,12205621.5,47935983.544903
2021-03-13 08:00:00.000000 +0800,1INCHUSDT,3.8022,4.2434,3.6302,4.0955,11561642.75,46036996.834336
